state,position,name,screen_name,party,congress
WI,Senator,Ron Johnson,SenRonJohnson,R,115
AL,Senator,Doug Jones,SenDougJones,D,115
VA,Senator,Timothy Kaine,timkaine,D,115
LA,Senator,John Kennedy,SenJohnKennedy,R,115
ME,Senator,Angus King,SenAngusKing,I,115
MN,Senator,Amy Klobuchar,amyklobuchar,D,115
OK,Senator,James Lankford,SenatorLankford,R,115
VT,Senator,Patrick Leahy,SenatorLeahy,D,115
UT,Senator,Mike Lee,SenMikeLee,R,115
WV,Senator,Joe Manchin,Sen_JoeManchin,D,115
MA,Senator,Ed Markey,SenMarkey,D,115
AZ,Senator,John McCain,SenJohnMcCain,R,115
MO,Senator,Claire McCaskill,clairemc,D,115
KY,Senator,Mitch McConnell,SenateMajLdr,R,115
NJ,Senator,Bob Men_ndez,SenatorMenendez,D,115
OR,Senator,Jeff Merkley,SenJeffMerkley,D,115
KS,Senator,Jerry Moran,JerryMoran,R,115
AK,Senator,Lisa Murkowski,lisamurkowski,R,115
CT,Senator,Christopher Murphy,ChrisMurphyCT,D,115
WA,Senator,Patty Murray,PattyMurray,D,115
FL,Senator,Bill Nelson,SenBillNelson,D,115
GA,Senator,David Perdue,sendavidperdue,R,115
MI,Senator,Gary Peters,SenGaryPeters,D,115
OH,Senator,Rob Portman,senrobportman,R,115
KY,Senator,Paul Rand,RandPaul,R,115
RI,Senator,Jack Reed,SenJackReed,D,115
ID,Senator,James Risch,SenatorRisch,R,115
KS,Senator,Pat Roberts,SenPatRoberts,R,115
SD,Senator,Mike Rounds,SenatorRounds,R,115
FL,Senator,Marco Rubio,marcorubio,R,115
VT,Senator,Bernie Sanders,SenSanders,I,115
NE,Senator,Benjamin Sasse,SenSasse,R,115
HI,Senator,Brian Schatz,SenBrianSchatz,D,115
NY,Senator,Chuck Schumer,SenSchumer,D,115
SC,Senator,Tim Scott,SenatorTimScott,R,115
NH,Senator,Jeanne Shaheen,SenatorShaheen,D,115
AL,Senator,Richard Shelby,SenShelby,R,115
MN,Senator,Tina Smith,SenTinaSmith,D,115
MI,Senator,Debbie Stabenow,SenStabenow,D,115
AK,Senator,Dan Sullivan,SenDanSullivan,R,115
MT,Senator,Jon Tester,SenatorTester,D,115
SD,Senator,John Thune,SenJohnThune,R,115
NC,Senator,Thom Tillis,SenThomTillis,R,115
PA,Senator,Pat Toomey,SenToomey,R,115
NM,Senator,Tom Udall,SenatorTomUdall,D,115
MD,Senator,Chris VanHollen,ChrisVanHollen,D,115
VA,Senator,Mark Warner,MarkWarner,D,115
MA,Senator,Elizabeth Warren,SenWarren,D,115
RI,Senator,Sheldon Whitehouse,SenWhitehouse,D,115
MS,Senator,Roger Wicker,SenatorWicker,R,115
OR,Senator,Ron Wyden,RonWyden,D,115
IN,Senator,Todd Young,SenToddYoung,R,115
